ID,name,LABEL
LOC001,我国,LOC
LOC002,北京野鸭湖,LOC
LOC003,江苏淮安白马湖,LOC
LOC004,生态保护红线内草原和基本草原,LOC
LOC005,集约人工林栽培地块,LOC
LOC006,三北,LOC
LOC007,双重,LOC
LOC008,自然保护区,LOC
LOC009,国家级自然保护区,LOC
LOC010,森林和野生动物类型国家级自然保护区,LOC
LOC011,北京市东城区和平里东街18号国家林业和草原局国家公园中心,LOC
LOC012,各地,LOC
LOC013,辽宁省,LOC
LOC014,沈阳市浑南区,LOC
LOC015,吉林省,LOC
LOC016,通化市东昌区,LOC
LOC017,江苏省,LOC
LOC018,南京市玄武区,LOC
LOC019,浙江省,LOC
LOC020,杭州市萧山区,LOC
LOC021,安徽省,LOC
LOC022,合肥市巢湖市,LOC
LOC023,福建省,LOC
LOC024,福州市马尾区,LOC
LOC025,江西省,LOC
LOC026,南昌市新建区,LOC
LOC027,山东省,LOC
LOC028,济南市莱芜区,LOC
LOC029,宽甸满族自治县,LOC
LOC030,扬州市仪征市,LOC
LOC031,新余市分宜县,LOC
LOC032,河南省,LOC
LOC033,信阳市固始县,LOC
LOC034,湖南省,LOC
LOC035,益阳市赫山区,LOC
LOC036,广西壮族自治区,LOC
LOC037,柳州市柳城县,LOC
LOC038,四川省,LOC
LOC039,雅安市石棉县,LOC
LOC040,贵州省,LOC
LOC041,黔南布依族苗族自治州荔波县,LOC
LOC042,黔东南苗族侗族自治州,LOC
LOC043,雷山县,LOC
LOC044,云南省,LOC
LOC045,昭通市水富市,LOC
LOC046,陕西省,LOC
LOC047,西安市鄠邑区,LOC
LOC048,北京市,LOC
LOC049,东城区,LOC
LOC050,天津市,LOC
LOC051,和平区,LOC
LOC052,河北省,LOC
LOC053,石家庄市,LOC
LOC054,城市园林或自然保护地内的国家一级或者二级保护野生植物,LOC
LOC055,国家公园,LOC
LOC056,黑龙江三江平原沼泽草甸,LOC
LOC057,西藏雅尼湿地,LOC
LOC058,青海木里草原,LOC
LOC059,青海西宁城市,LOC
LOC060,各省、自治区、直辖市、新疆生产建设兵团林业和草原,LOC
LOC061,风景名胜区,LOC
LOC062,洛阳市栾川县,LOC
LOC063,湖北省,LOC
LOC064,武汉市武昌区,LOC
LOC065,长沙市岳麓区,LOC
LOC066,广东省,LOC
LOC067,广州市白云区,LOC
LOC068,南宁市西乡塘区,LOC
LOC069,重庆市,LOC
LOC070,万州区,LOC
LOC071,自贡市自流井区,LOC
LOC072,遵义市播州区,LOC
LOC073,蓟州区,LOC
LOC074,本溪市南芬区,LOC
LOC075,马鞍山市花山区,LOC
LOC076,泉州市泉州台商投资区,LOC
LOC077,漳州市漳浦县,LOC
LOC078,平和县,LOC
LOC079,吉林市吉林经济技术开发区,LOC
LOC080,东北森林带,LOC
LOC081,内蒙古,LOC
LOC082,北方防沙带,LOC
LOC083,北京,LOC
LOC084,天津,LOC
LOC085,非洲,LOC
