ID,name,LABEL
ORG001,国家林业和草原局,ORG
ORG002,各有关省、自治区、直辖市、新疆生产建设兵团林业和草原主管部门,ORG
ORG003,省级林草主管部门,ORG
ORG004,秘书处,ORG
ORG005,各省、自治区、直辖市、新疆生产建设兵团林业和草原主管部门,ORG
ORG006,国家储备林建设主体,ORG
ORG007,省级林业和草原主管部门,ORG
ORG008,自然资源部,ORG
ORG009,国家林草局,ORG
ORG010,国家发展改革委,ORG
ORG011,财政部,ORG
ORG012,农业农村部,ORG
ORG013,各级党委政府,ORG
ORG014,自然资源部门,ORG
ORG015,国家林业和草原局品种审定委员会,ORG
ORG016,林木品种审定委员会,ORG
ORG017,国务院,ORG
ORG018,国务院办公厅,ORG
ORG019,我局,ORG
ORG020,自然保护区管理机构,ORG
ORG021,中华人民共和国濒危物种进出口管理办公室,ORG
ORG022,国家濒管办,ORG
ORG023,国家濒管办办事处,ORG
ORG024,农业农村主管部门,ORG
ORG025,林业和草原主管部门,ORG
ORG026,受委托机关,ORG
ORG027,草品种审定委员会,ORG
ORG028,野生植物标准化技术委员会,ORG
ORG029,林草应对气候变化标准化技术委员会,ORG
ORG030,党中央,ORG
ORG031,国家发展和改革委员会,ORG
ORG032,各省、自治区、直辖市人民政府,ORG
ORG033,新疆生产建设兵团,ORG
ORG034,城市园林或自然保护地管理机构,ORG
ORG035,各归口管理单位,ORG
ORG036,国家林业和草原局林木品种审定委员会,ORG
ORG037,大兴安岭林业集团,ORG
ORG038,动植物司,ORG
ORG039,应急管理部,ORG
ORG040,各省（区、市）自然资源（海洋）、生态环境、林业和草原主管部门,ORG
ORG041,新疆生产建设兵团自然资源局、生态环境局、林业和草原局,ORG
ORG042,中共中央,ORG
ORG043,中共中央办公厅,ORG
ORG044,中央军委,ORG
ORG045,生态环境部,ORG
ORG046,国家林业局,ORG
ORG047,林业和草原局,ORG
ORG048,国家林业局办公室,ORG
ORG049,国家乡村振兴局,ORG
ORG050,湖北华饴生物科技有限公司,ORG
ORG051,厦门亚热带植物科技开发公司,ORG
ORG052,广东省友和对台贸易公司,ORG
ORG053,县级以上林业和草原主管部门,ORG
ORG054,国家,ORG
ORG055,县级以上地方林业和草原主管部门,ORG
ORG056,省级以上林业和草原主管部门,ORG
ORG057,各地林业和草原主管部门,ORG
ORG058,地方政府,ORG
ORG059,国家林业和草原局办公室,ORG
ORG060,各地政府和相关企业,ORG
ORG061,我局林业和草原改革发展司,ORG
ORG062,我局门户网站,ORG
ORG063,各省、自治区、直辖市农业农村,ORG
ORG064,渔业主管部门,ORG
ORG065,各司局,ORG
ORG066,国务院知识产权战略实施工作部际联席会议办公室,ORG
ORG067,各省、自治区、直辖市林业和草原主管部门,ORG
ORG068,北京市园林绿化局,ORG
ORG069,天津市规划和自然资源局,ORG
ORG070,河北省林业和草原局,ORG
ORG071,民政部,ORG
ORG072,党中央、国务院,ORG
ORG073,国务院林业和草原主管部门,ORG
ORG074,建设项目审批部门,ORG
ORG075,建设单位,ORG
ORG076,县级林业和草原主管部门,ORG
ORG077,省级政府,ORG
ORG078,各级林业和草原主管部门,ORG
ORG079,国家公园和自然保护地标准化技术委员会,ORG
ORG080,草原标准化技术委员会,ORG
ORG081,植物新品种保护办公室,ORG
ORG082,生产企业,ORG
ORG083,县级人民政府林业主管部门,ORG
ORG084,县级以上人民政府,ORG
ORG085,编制单位,ORG
ORG086,基层林业主管部门,ORG
ORG087,林草局,ORG
ORG088,家庭林场、领办林业专业合作社,ORG
ORG089,龙头企业,ORG
ORG090,国务院政府信息与政务公开办公室,ORG
ORG091,国家林业和草原局政务公开办公室,ORG
ORG092,各司局、各直属单位,ORG
ORG093,各单位,ORG
ORG094,局政务公开办公室,ORG
ORG095,浙江省林业厅,ORG
ORG096,省级以上林业主管部门,ORG
ORG097,专业机构,ORG
ORG098,当地林业主管部门,ORG
ORG099,省级林业主管部门,ORG
ORG100,中国森林旅游节,ORG
ORG101,中国森林旅游节组织委员会,ORG
ORG102,组委会办公室,ORG
ORG103,国家林业和草原局森林旅游管理办公室,ORG
ORG104,中国森林旅游节执行委员会,ORG
ORG105,森林旅游节,ORG
ORG106,国家林业和草原局森林旅游工作领导小组,ORG
ORG107,组委会,ORG
ORG108,执委会及其办公室,ORG
ORG109,各省、自治区、直辖市林业厅（局）,ORG
ORG110,吉林省林业厅,ORG
ORG111,国家林业和草原局内蒙古、长春、黑龙江、大兴安岭专员办,ORG
ORG112,项目建设单位,ORG
ORG113,森林经营单位,ORG
ORG114,森林资源监督机构,ORG
ORG115,国家林业和草原局打击侵犯知识产权和制售假冒伪劣商品工作领导小组,ORG
